,Publisher,Score,Magnitude,Keywords
0,washingtonexaminer.com,0.0,0.30000001192092896,arabia week military oil pay worlds world trump arabias subsidizing saudi united 
1,washingtonexaminer.com,-0.10000000149011612,1.0,devils katz word yearbook define kavanaugh washington sexual rose wrote triangle scrambled corroboration senate needed hearing opponents 
2,washingtonexaminer.com,-0.20000000298023224,3.0999999046325684,preexisting rules illnesses declares care trump safe despite lawsuit obamacare conditions gop law protections officials 
3,washingtonexaminer.com,-0.20000000298023224,2.0999999046325684,received dianne feinstein trumps mocks letter trump didnt christine existence leak fords saying wishes twitter staff 
4,washingtonexaminer.com,0.0,0.800000011920929,support investigation speaks watch west live states supreme trump virginia wva sen rally wheeling visited 
5,washingtonexaminer.com,-0.10000000149011612,0.800000011920929,investigation kavanaugh reporters republican trump leaked senate leaker reign fbi ford 
6,washingtonexaminer.com,0.0,0.20000000298023224,w hes investigation flake kavanaugh brett george interview jeff weve unless reveals bush senate worked vote urged 
7,washingtonexaminer.com,-0.30000001192092896,1.7000000476837158,investigation kicks kavanaugh school high brett times shared judiciary senate fbi women 
8,washingtonexaminer.com,-0.20000000298023224,1.100000023841858,ground military isis trump defeat iran iranian arab forces troops boots syria counter eyeing 
9,washingtonexaminer.com,-0.20000000298023224,1.399999976158142,hearings surveyed poll kavanaugh senator showed shows midterm supreme face senate senators election vote trouble 
10,washingtonexaminer.com,0.0,0.30000001192092896,soon president hopefully goodlatte rod early week happen private trump rosenstein gop justice looking meeting memos 
11,washingtonexaminer.com,-0.10000000149011612,1.0,president rare aclu kavanaugh silent nomination brett allegations oppose supreme issues policy remain organization statement opposition 
12,washingtonexaminer.com,-0.20000000298023224,2.200000047683716,investigation kavanaugh check brett allegations democrats letter wrote calls leaked intercept cassidy fbi bill 
13,washingtonexaminer.com,-0.10000000149011612,1.2999999523162842,entry kavanaugh calendar brett know 1982 key party allegation judge house christine garrett fords ford 
14,washingtonexaminer.com,-0.4000000059604645,2.0999999046325684,investigation kavanaugh delay week torturing shame democrats fbi truth vs wanted vote fords ford 
15,washingtonexaminer.com,-0.10000000149011612,1.5,support crimes accusers kavanaugh shows metoo men accusations rape claims unfair debacle culture women evidence 
16,washingtonexaminer.com,0.20000000298023224,1.399999976158142,heres maryland residents district political congressional county virginia retrocession gain organization douglass representation dc 
17,washingtonexaminer.com,0.0,1.0,state game college watch touchdowns second football week states yards ohio season games stanford 
18,washingtonexaminer.com,-0.10000000149011612,1.7000000476837158,voters tight state scott trumps reelection wisconsin predicted wave red evers think theyre message vote doesnt walker primary 
19,washingtonexaminer.com,0.0,0.10000000149011612,committee ramirez ford took kavanaugh arrange democrats work lot grassley scrap york fordkavanaugh senate fords sen hearing byron 
20,washingtonexaminer.com,-0.10000000149011612,2.5,users exploited told facebook 50 company breach theyre reveals security accounts million access affecting hackers 
21,washingtonexaminer.com,0.0,1.0,lawmakers committee bias told testify company ceo pichai judiciary house senate mccarthy concerns google mount 
22,washingtonexaminer.com,-0.30000001192092896,1.5,statements case board musk opens elon agency founder musks teslas private tesla secured fraud sec 
23,washingtonexaminer.com,0.0,0.800000011920929,weapons nuclear korea russia needs war lower trust security forces syria chemical sanctions north build 
24,washingtonexaminer.com,0.10000000149011612,1.100000023841858,korea seven deal week world wants minister pyongyang kim say trump pompeo gathering syria north 
