,Publisher,Score,Magnitude,Keywords
0,foxnews.com,0.0,1.899999976158142,heres critics president korea fundamental sets change trumps kim stage trump summit missed nuclear meets united north korean 
1,foxnews.com,-0.10000000149011612,0.8999999761581421,historic korea agrees complete war peninsula denuclearization kim asked trump pompeo summit meeting trumpkim north korean 
2,thehill.com,0.0,0.6000000238418579,enforced softwood wood fair american lumber works industry trade mills united free 
3,thehill.com,-0.30000001192092896,2.5,federal business different needs processes change american states management reshape americans 21st agencies century 
4,thehill.com,-0.20000000298023224,1.7999999523162842,score dems left president political points allow immigration kavanaugh parents policies border report trump children schumer continue separation 
5,thehill.com,0.20000000298023224,1.5,day employment state workers growth economic force american unemployment rate celebrate labor market jobs 
6,thehill.com,0.10000000149011612,0.8999999761581421,president hispanic job flourishing incomes work trump economy rate hispanics businesses 
7,thehill.com,0.10000000149011612,0.8999999761581421,president hispanic job flourishing incomes work trump economy rate hispanics businesses 
8,thehill.com,-0.6000000238418579,3.200000047683716,kavanaugh success tax businesses taxes democrats trump senate small expose gop bill hypocrisy cuts 
9,foxnews.com,0.0,1.399999976158142,theft right thing latest president system chinese china tariffs gordon trumps wto products chang trading trade 
10,foxnews.com,0.0,1.399999976158142,theft right thing latest president system chinese china tariffs gordon trumps wto products chang trading trade 
11,nytimes.com,0.0,0.5,hit countries united oil prices price trump theyre iran international working nuclear sanctions states far 
12,nytimes.com,0.0,0.5,hit countries united oil prices price trump theyre iran international working nuclear sanctions states far 
13,usatoday.com,-0.20000000298023224,1.5,state operations russia offensive strategy trumps cybersecurity bolton trump adversaries donald allows saidthe agencies united states 
14,usatoday.com,-0.20000000298023224,1.5,state operations russia offensive strategy trumps cybersecurity bolton trump adversaries donald allows saidthe agencies united states 
15,washingtontimes.com,0.0,1.7999999523162842,order president elections meddling intelligence mr trump foreigners donald executive white election approves agencies sanctions 
16,washingtontimes.com,-0.10000000149011612,0.8999999761581421,president obama reaping tax benefits mr american trumps trump economy policy money far 
17,washingtontimes.com,-0.20000000298023224,1.399999976158142,immigration separated wont need illegal migrant penalties trump children security saying separation camp 
18,nytimes.com,0.10000000149011612,0.8999999761581421,plunge applications benefits university receive economy health social security program strengthens low insurance disability 
19,foxnews.com,0.20000000298023224,1.399999976158142,heres president meddling 2016 freakout prescription land russia putin russian derangement media trump icu summit syndrome victims election 
