,Trump?,Publisher,Score,Higher Than 0,Magnitude,Together,Keywords
0,1,foxnews.com,0,0,1.899999976,0,heres critics president korea fundamental sets change trumps kim stage trump summit missed nuclear meets united north korean
1,1,foxnews.com,-0.100000002,0,0.899999976,-0.089999999,historic korea agrees complete war peninsula denuclearization kim asked trump pompeo summit meeting trumpkim north korean
2,1,thehill.com,0,0,0.600000024,0,enforced softwood wood fair american lumber works industry trade mills united free
3,1,thehill.com,-0.300000012,0,2.5,-0.75000003,federal business different needs processes change american states management reshape americans 21st agencies century
4,1,thehill.com,-0.200000003,0,1.799999952,-0.359999996,score dems left president political points allow immigration kavanaugh parents policies border report trump children schumer continue separation
5,1,thehill.com,0.200000003,1,1.5,0.300000005,day employment state workers growth economic force american unemployment rate celebrate labor market jobs
6,1,thehill.com,0.100000002,1,0.899999976,0.089999999,president hispanic job flourishing incomes work trump economy rate hispanics businesses
7,1,thehill.com,0.100000002,1,0.899999976,0.089999999,president hispanic job flourishing incomes work trump economy rate hispanics businesses
8,1,thehill.com,-0.600000024,0,3.200000048,-1.920000105,kavanaugh success tax businesses taxes democrats trump senate small expose gop bill hypocrisy cuts
9,1,foxnews.com,0,0,1.399999976,0,theft right thing latest president system chinese china tariffs gordon trumps wto products chang trading trade
10,1,foxnews.com,0,0,1.399999976,0,theft right thing latest president system chinese china tariffs gordon trumps wto products chang trading trade
11,1,nytimes.com,0,0,0.5,0,hit countries united oil prices price trump theyre iran international working nuclear sanctions states far
12,1,nytimes.com,0,0,0.5,0,hit countries united oil prices price trump theyre iran international working nuclear sanctions states far
13,1,usatoday.com,-0.200000003,0,1.5,-0.300000005,state operations russia offensive strategy trumps cybersecurity bolton trump adversaries donald allows saidthe agencies united states
14,1,usatoday.com,-0.200000003,0,1.5,-0.300000005,state operations russia offensive strategy trumps cybersecurity bolton trump adversaries donald allows saidthe agencies united states
15,1,washingtontimes.com,0,0,1.799999952,0,order president elections meddling intelligence mr trump foreigners donald executive white election approves agencies sanctions
16,1,washingtontimes.com,-0.100000002,0,0.899999976,-0.089999999,president obama reaping tax benefits mr american trumps trump economy policy money far
17,1,washingtontimes.com,-0.200000003,0,1.399999976,-0.279999999,immigration separated wont need illegal migrant penalties trump children security saying separation camp
18,1,nytimes.com,0.100000002,1,0.899999976,0.089999999,plunge applications benefits university receive economy health social security program strengthens low insurance disability
19,1,foxnews.com,0.200000003,1,1.399999976,0.279999999,heres president meddling 2016 freakout prescription land russia putin russian derangement media trump icu summit syndrome victims election
20,1,foxnews.com,0.200000003,1,1.399999976,0.279999999,heres president meddling 2016 freakout prescription land russia putin russian derangement media trump icu summit syndrome victims election
21,1,foxnews.com,0.400000006,1,2,0.800000012,programs secure future workers close technology gap workforce stem important industry help skills
22,1,foxnews.com,0.400000006,1,2,0.800000012,programs secure future workers close technology gap workforce stem important industry help skills
23,1,washingtontimes.com,-0.300000012,0,1.899999976,-0.570000016,border issue immigration overstays wrinkle visitors security small months numbers million visa present
24,1,washingtontimes.com,-0.300000012,0,1.899999976,-0.570000016,border issue immigration overstays wrinkle visitors security small months numbers million visa present
25,1,foxnews.com,0,0,1,0,established president defense 2020 secretary pence report mattis pentagon force department calls space working
26,1,foxnews.com,0,0,1,0,established president defense 2020 secretary pence report mattis pentagon force department calls space working
27,1,washingtonpost.com,0,0,2.5,0,consumers robocallers carriers mr scale fcc gearing calls communications shut abramovich numbers subpoena
28,1,usatoday.com,-0.100000002,0,1.899999976,-0.19,tillis kathy cfpb protection needs agency opposing congress department democrats nomination public thom kraninger
29,1,foxnews.com,-0.100000002,0,1.299999952,-0.129999997,winning newt president judges efforts trade republican trump senate liberal keeps despite racking won gingrich medias primary victories
30,1,thehill.com,0,0,2.5,0,lawmakers reform strengthen effective tax congress taxes american code broken house trump fix businesses rates
31,1,foxnews.com,0.200000003,1,1.200000048,0.240000013,right job cut passed looking seeing tax pay paychecks american wealthy help district cuts jobs
32,1,foxnews.com,0.200000003,1,1.200000048,0.240000013,right job cut passed looking seeing tax pay paychecks american wealthy help district cuts jobs
33,1,foxnews.com,0.200000003,1,2.099999905,0.419999987,operations operating secretary center surgeon individual price harvey patient marc hhs health needed houston siegel
34,1,thehill.com,0.200000003,1,1.299999952,0.259999994,pavlich job man korea president denuclearization kim pompeo trump house summit peace north korean
35,1,thehill.com,-0.100000002,0,1.5,-0.150000002,president stand democrats trump touted tells gop trade america veterans va
36,1,thehill.com,0.400000006,1,4,1.600000024,bring president system infrastructure deteriorating service american public bipartisan trump parks overnight bill needed funds national park
37,1,washingtontimes.com,0.200000003,1,2,0.400000006,reform support obamacare likes deb ms model care health cassidygraham think senators fischer statebased plan bill states repeal
38,1,foxnews.com,-0.100000002,0,1.899999976,-0.19,president newt war reasserts world interests trumps nations trump member terrorism patriotism address gingrich sovereignty united citizens
39,1,foxnews.com,0.100000002,1,1.299999952,0.129999997,newt combined obama president korea koreans war allies elites tough accomplished tougher trump beginning bush gingrich clinton north
40,1,thehill.com,-0.300000012,0,2.5,-0.75000003,jobs recent wage workers really pay times american wages trump better past pelosi consumer sorry
41,1,washingtontimes.com,-0.300000012,0,1.799999952,-0.540000007,president confirmation kavanaugh sailing court democrats flail judge supreme senate sen hearing
42,1,usatoday.com,-0.200000003,0,2.599999905,-0.519999989,secretary ratings sector department misleading article usa nursing private todays facilities homes veterans va
43,1,washingtontimes.com,-0.100000002,0,1.700000048,-0.170000007,aba bar evaluation whitehouse kavanaugh court judge supreme facts saw pattern association lauds allegiance law rating
44,1,usatoday.com,0.600000024,1,3.099999905,1.860000017,prevention secretary progress treatment trump health hhs epidemic fight grants addiction working administration opioid making crisis
45,1,usatoday.com,0.600000024,1,3.099999905,1.860000017,prevention secretary progress treatment trump health hhs epidemic fight grants addiction working administration opioid making crisis
46,1,usatoday.com,0,0,2.099999905,0,state secretary china need world leaders work pompeo end religious freedom iran trump persecution mike persecuted
47,1,usatoday.com,0,0,2.099999905,0,state secretary china need world leaders work pompeo end religious freedom iran trump persecution mike persecuted
48,1,thehill.com,0,0,1.100000024,0,drugs consumers little generic mylan easier fall drug families care health trump epipen medicaid thanks administration rest
49,1,wsj.com,-0.200000003,0,1,-0.200000003,soon votes tax scrambling week republicans senates understand window hour senate vote healthcare
50,1,thehill.com,-0.699999988,0,3.799999952,-2.659999921,transcripts votes release russia charges doj 400 jeff house doctors fraud sessions million intel healthcare
51,1,thehill.com,0.200000003,1,1.200000048,0.240000013,state heading visit pence vice carolina ready ahead trump virginia georgia hurricane florence south
52,1,washingtontimes.com,-0.300000012,0,2.299999952,-0.690000013,dead crimes washington war palestinian criminal court icc john bolton international office illegitimate officials
53,1,usatoday.com,-0.100000002,0,2.799999952,-0.279999999,improve programs requirements food poverty ease force work medicaid assistance trump welfare labor recipients
54,1,foxnews.com,0.400000006,1,2.299999952,0.919999995,historic newt president federal judicial nation system judges court trumps trump senate nominees gingrich help prosper impact
55,1,nytimes.com,0,0,0.400000006,0,killed somalia 100 military american militants mall trump islamic group airstrike officials shabab
56,1,washingtontimes.com,-0.100000002,0,0.800000012,-0.080000002,voters majority federal poll border view separated parents blame states say survey law united crisis
57,1,washingtonpost.com,0.100000002,1,0.699999988,0.07,president education washington workers high students trump technicaleducation law bipartisan program legislation technical signs bill states
58,1,thehill.com,0.100000002,1,1,0.100000002,president korea embarks message packs visit united military options trump punch tour asia pacific north
59,1,foxnews.com,0,0,0.400000006,0,right president rluipa federal worship public trump religious knows sessions policy freedom justice general orthodox preference
60,1,foxnews.com,0,0,0.400000006,0,soon president major korea korean agreement kim trump reveals meeting leader trade elsissi signs possible north south
61,1,thehill.com,-0.100000002,0,0.899999976,-0.089999999,reform thumbs kavanaugh sentencing trump pivotal house senate prison bill white fbi gives think meeting
62,1,washingtontimes.com,-0.100000002,0,0.699999988,-0.07,ice voters majority president poll policies immigration movement agency republicans democrats americas
63,1,washingtontimes.com,-0.100000002,0,0.699999988,-0.07,ice voters majority president poll policies immigration movement agency republicans democrats americas
64,1,usatoday.com,0,0,2.900000095,0,heres fuels fires timber firefighters forest unstoppable wildfires forests management prevented national park
65,1,nytimes.com,-0.100000002,0,2.299999952,-0.229999999,online political challenge diversity fbers engineer facebook mr unite post liberal dozens culture group went intolerant
66,1,nytimes.com,-0.100000002,0,2.299999952,-0.229999999,online political challenge diversity fbers engineer facebook mr unite post liberal dozens culture group went intolerant
67,1,usatoday.com,-0.200000003,0,2.099999905,-0.419999987,president programs agriculture trade farmers usda tariffs retaliatory american trump response stands
68,1,usatoday.com,-0.200000003,0,2.099999905,-0.419999987,president programs agriculture trade farmers usda tariffs retaliatory american trump response stands
69,1,foxnews.com,0.200000003,1,1.100000024,0.220000008,mexico major countries trade china workers replaces triumphs american trumps trump usa nafta yuge deal win
70,1,foxnews.com,0.200000003,1,1.100000024,0.220000008,mexico major countries trade china workers replaces triumphs american trumps trump usa nafta yuge deal win
71,1,foxnews.com,-0.200000003,0,2.200000048,-0.440000016,washington kavanaugh hit baseball times brett tickets court pick supreme misses draw house pieces white mockery published medias nominee
72,1,foxnews.com,-0.200000003,0,2.200000048,-0.440000016,washington kavanaugh hit baseball times brett tickets court pick supreme misses draw house pieces white mockery published medias nominee
73,1,usatoday.com,0,0,0.5,0,president medal airman widow chapman honor force chapmans trump john donald fallen awards
74,1,washingtontimes.com,-0.100000002,0,0.899999976,-0.089999999,president defense billion pay military mr measure troop trump ndaa rep rebuilds policy donald troops signs boosts
75,1,washingtontimes.com,-0.100000002,0,0.899999976,-0.089999999,president defense billion pay military mr measure troop trump ndaa rep rebuilds policy donald troops signs boosts
76,1,nytimes.com,-0.100000002,0,1.600000024,-0.160000005,pacers bullying prevention mrs michigan middle schoolers kindness ms urges students trump choose aware melania white lady
77,1,washingtontimes.com,-0.400000006,0,1.899999976,-0.760000002,order border visit surprise parents illegal families judge makes trump children gee melania texas detention facility policy
78,1,washingtontimes.com,-0.5,0,2.900000095,-1.450000048,study immigrant finds substantially immigration yale numbers census population illegal larger number million professors estimates previous immigrants
79,1,foxnews.com,0,0,0.400000006,0,started president war chinese china companies tariffs american trumps trump end trade trying
80,1,usatoday.com,-0.300000012,0,3,-0.900000036,president agriculture protect farmers chinas china american tariffs trump retaliation trade stop
81,1,foxnews.com,-0.300000012,0,2.200000048,-0.660000041,nuclear irans president reinstates horrible deal united administration trump iran official slams business sanctions states
82,1,foxnews.com,-0.300000012,0,2.200000048,-0.660000041,nuclear irans president reinstates horrible deal united administration trump iran official slams business sanctions states
83,1,washingtontimes.com,0,0,0.300000012,0,nuclear korea president united mr states iran deal sanctions north leverage
84,1,wsj.com,-0.200000003,0,1,-0.200000003,jobs wage week wont work unemployment theyre warren working americans does
85,1,washingtontimes.com,0,0,0.800000012,0,president trumps nowruz trump iran iranian white message administration islamic regime
86,1,nytimes.com,0.5,1,2.900000095,1.450000048,help vision opinion world g20 nations trump terrorism abroad america women values united states
87,1,foxnews.com,0.200000003,1,1.399999976,0.279999999,programs school merge college graduates high sense idea departments apprenticeships trumps lot makes students schools average labor education jobs
88,1,thehill.com,-0.100000002,0,0.899999976,-0.089999999,obama president russia hillary tougher 18 russian trump months gop individuals administration sanctions
89,1,washingtontimes.com,0.100000002,1,1.5,0.150000002,sales mr japan shinzo trump abe better agree trade deal redo meeting united
90,1,washingtontimes.com,0.100000002,1,1.5,0.150000002,sales mr japan shinzo trump abe better agree trade deal redo meeting united
91,1,wsj.com,0,0,0.5,0,share bluecollar suffering stubborn work soft shackles wrote taliban worker stewing happy
92,1,wsj.com,-0.100000002,0,1.100000024,-0.110000004,majority bluecollar workers work american say better good agree happy survey jobs
93,1,thehill.com,-0.100000002,0,1.5,-0.150000002,president stand democrats trump touted tells gop trade america veterans va
94,1,thehill.com,0.300000012,1,1.899999976,0.570000016,training raja gap passes legislation house technical techfocused students bill career skills education
95,1,usatoday.com,0.200000003,1,1.5,0.300000005,obama state energy coal clean seat wyoming drivers epa power administration plan puts states
96,1,foxnews.com,0,0,0.899999976,0,juncker union european energy concessions tariffs imports trump announces think eu trade soybeans officials
97,1,foxnews.com,0,0,0.899999976,0,juncker union european energy concessions tariffs imports trump announces think eu trade soybeans officials
98,1,washingtontimes.com,0,0,1,0,voters confirmation poll kavanaugh favors brett republicans court supreme judge say democrats vote survey
99,1,washingtontimes.com,0,0,1,0,voters confirmation poll kavanaugh favors brett republicans court supreme judge say democrats vote survey
100,1,nytimes.com,0.100000002,1,0.699999988,0.07,views washington kavanaugh yale professor brett best evenhanded court supreme hair students great wrote weaknessesover class georgetown law seen
101,1,foxnews.com,-0.100000002,0,1.799999952,-0.179999998,job let overseas thats tax workers dont companies jim trumps old code rep worked dc establishment cuts renacci jobs
102,1,foxnews.com,-0.100000002,0,1.799999952,-0.179999998,job let overseas thats tax workers dont companies jim trumps old code rep worked dc establishment cuts renacci jobs
103,1,thehill.com,-0.100000002,0,2,-0.200000003,safeguard trusted understands amendment kavanaugh washington v court rights judge trump religious law
104,1,washingtontimes.com,0.100000002,1,1.200000048,0.120000007,confirmation criticisms kavanaugh secretary democrats judge process transparency supreme court documents house white document justice absurd making
105,1,washingtonpost.com,0,0,0.400000006,0,kavanaugh kavanaughs chances told brett settled court supreme collins better getting abortion looking sen law
106,1,usatoday.com,-0.200000003,0,1.299999952,-0.259999994,property share chinese ip china technology intellectual national american chinas firms trump trade official stop united states forcing
107,1,washingtontimes.com,0.200000003,1,1.399999976,0.279999999,sanders applauds billion secretary survival mattis afford military pentagons james white welcomed america deal spending
108,1,foxnews.com,-0.100000002,0,1.299999952,-0.129999997,america president standing fair american change treatment trump summit taxpayer trade nato united states
109,1,thehill.com,-0.100000002,0,1,-0.100000002,president little tough military wants question gives trump wild alliance shake nato saying love trying buck
110,1,wsj.com,-0.300000012,0,2.200000048,-0.660000041,rising ya tax high times remarkable confidence worse wages reported americans reminded
111,1,wsj.com,-0.300000012,0,2.200000048,-0.660000041,rising ya tax high times remarkable confidence worse wages reported americans reminded
112,1,nbcnews.com,0,0,1.799999952,0,cia president target pledges gina entering director intelligence recent mcconnell opioids haspel officers officer north
113,1,washingtontimes.com,-0.300000012,0,2.200000048,-0.660000041,chance federal gets kates immigration congress steinle illegal san mr legislation trump kate steinles lawsuit pass victims law
114,1,washingtontimes.com,-0.200000003,0,2,-0.400000006,consumers took vehicle grabs cafe prices vehicles wheel trump average standards administration increase higher
115,1,thehill.com,0.100000002,1,1.5,0.150000002,president truly trade china biggest tariffs american protectionist trump free market bring
116,1,thehill.com,-0.200000003,0,1.100000024,-0.220000008,rollback cbo fantasy health uninsured plans insurance million obamacare integrity americans scores wrong
117,1,washingtontimes.com,0.100000002,1,1.100000024,0.110000004,takehome districts taxpayers save tax pay nationwide average money cut district increase 2018
118,1,thehill.com,0,0,2.099999905,0,president boom recent regulations trump ignites street small optimism businesses business owners
119,1,washingtontimes.com,0,0,0.5,0,pressure korea offers resolve peninsula denuclearization leadership trumps mr kim south trump ready military hope north korean
120,1,thehill.com,0,0,0.699999988,0,consumers sales tax week credit feel american better street rate small thanks sentiment cuts consumer
121,1,washingtontimes.com,0,0,0.699999988,0,tasks review outbreak biological ongoing biodefense mr threats threat azar trump hhs donald security look weapons
122,1,foxnews.com,-0.300000012,0,1.899999976,-0.570000016,tibbetts dead father college iowa suspect living mollie illegally fox student murder 24 doors idd rivera brooklyn cristhian
123,1,foxnews.com,0,0,0.600000024,0,critics president major billion partners china benefits tariffs economic trumps world trading americas trade america bring wrong
124,1,foxnews.com,-0.300000012,0,2.299999952,-0.690000013,president immigrant border humanitarian unaccompanied wall best illegal illegally trumps end trump violence southern way patrol crisis immigrants
125,1,thehill.com,-0.300000012,0,1.899999976,-0.570000016,scary right constitutional kavanaugh originalists originalism v court rights supreme claims originalist justice law
126,1,washingtontimes.com,-0.200000003,0,3.200000048,-0.640000019,study system poor tax single republican medicaid care better patients program gop health returns payer
127,1,foxnews.com,-0.200000003,0,1.600000024,-0.32000001,deregulation booming cut growth taxes birthday trumps economists american economy gift trade america 15 fed
128,1,usatoday.com,-0.200000003,0,2.400000095,-0.480000026,index extending rally dow tax closes 25000 companies investors run stock bluechip market street 2018 milestonebreaking
129,1,foxnews.com,-0.100000002,0,0.899999976,-0.089999999,coach team freed thai navy cave boys rescue entire soccer rescued seals daring group
130,1,thehill.com,-0.100000002,0,1.200000048,-0.120000007,booming billion consumer workers china sector tariffs trumps economy rate trump trade month battle recently
131,1,foxnews.com,0,0,1.399999976,0,deserves support family right investment workers parents families ivanka paid trump bipartisan members leave policy working national
132,1,usatoday.com,0,0,0.300000012,0,ice enforcement border governor country immigration communities national arizona trafficking ducey calls reckless security abolish doug wrong
133,1,foxnews.com,-0.100000002,0,1.799999952,-0.179999998,dems president title woodwards book books designed trumps write fear trump bob didnt woodward help dare win jobs
134,1,washingtontimes.com,-0.100000002,0,0.800000012,-0.080000002,drugs fentanyl president act customs border wall need republican killing detect trump signed help sen signs patrol interdict
135,1,nytimes.com,0.100000002,1,1.799999952,0.179999998,opinion trumps unemployment benefited economy rate million words presidency yes millions jobs
136,1,thehill.com,-0.100000002,0,1.5,-0.150000002,winning washington russia foreign world trumps trump policy syria saudi bold north korean
137,1,washingtontimes.com,0,0,0.400000006,0,president secretary drug orders prices mr azar work trump alex trumps hhs vote bring sworn
138,1,washingtontimes.com,0.100000002,1,1.299999952,0.129999997,president defense gets spend putin mr military trumps trump members donald summit nato spending
139,1,thehill.com,0.100000002,1,0.600000024,0.060000003,distracts downplays president regulatory jobs tax regulations media trumps american trump economy policy agenda 2018
140,1,washingtontimes.com,0.400000006,1,2.200000048,0.880000032,right immigration circumstances benefits world need steady work visas economic welfare working america flow immigrants
141,1,usatoday.com,-0.100000002,0,1.5,-0.150000002,president federal spending growth medicaid health preserves rate senate budget math gop proves inflation program bill
142,1,washingtontimes.com,0,0,0.400000006,0,president brandon border union 20year high wall mr trumps weve trump judd sent morale patrol energy
143,1,thehill.com,-0.200000003,0,1.600000024,-0.32000001,president short drop slight border union wall illegal apprehensions trump seen judd miraculous miles patrol boss
144,1,foxnews.com,0,0,2.099999905,0,business tax economic change care longawaited wages small money costs cut americans hope bring
145,1,thehill.com,0,0,0.899999976,0,obama ended possible immigration status humane trump house program temporary lawful way daca immigrants
146,1,foxnews.com,-0.200000003,0,1,-0.200000003,president reform sells speech tax called congress economic selfinflicted trump code house giant white wound
147,1,thehill.com,0,0,0.699999988,0,finally president unconstitutional obama ends immigration thank illegal legal trump program policy dapa daca
